"WHO region","Year","Estimated number of malaria cases"
"Global"," 2017","219 000 000 [202 800 000 - 262 000 000]"
"Global"," 2016","216 600 000 [200 400 000 - 259 000 000]"
"Global"," 2015","214 200 000 [198 700 000 - 257 200 000]"
"Global"," 2014","217 100 000 [199 600 000 - 259 300 000]"
"Global"," 2013","221 000 000 [200 500 000 - 266 200 000]"
"Global"," 2012","226 400 000 [206 700 000 - 271 600 000]"
"Global"," 2011","229 100 000 [210 500 000 - 273 200 000]"
"Global"," 2010","238 800 000 [218 600 000 - 285 400 000]"
"Africa"," 2017","200 500 000 [184 500 000 - 243 600 000]"
"Africa"," 2016","195 500 000 [178 600 000 - 236 800 000]"
"Africa"," 2015","193 800 000 [178 100 000 - 235 200 000]"
"Africa"," 2014","196 200 000 [178 000 000 - 237 600 000]"
"Africa"," 2013","200 500 000 [180 500 000 - 243 700 000]"
"Africa"," 2012","201 200 000 [181 800 000 - 246 100 000]"
"Africa"," 2011","201 000 000 [182 500 000 - 244 200 000]"
"Africa"," 2010","206 300 000 [186 100 000 - 252 100 000]"
"Americas"," 2017","976 000 [880 000 - 1 128 000]"
"Americas"," 2016","712 000 [646 000 - 806 000]"
"Americas"," 2015","573 000 [528 000 - 635 000]"
"Americas"," 2014","482 000 [448 000 - 525 000]"
"Americas"," 2013","564 000 [523 000 - 621 000]"
"Americas"," 2012","581 000 [543 000 - 629 000]"
"Americas"," 2011","611 000 [566 000 - 668 000]"
"Americas"," 2010","814 000 [743 000 - 898 000]"
"South-East Asia"," 2017","11 290 000 [8 565 000 - 14 840 000]"
"South-East Asia"," 2016","14 230 000 [10 540 000 - 19 600 000]"
"South-East Asia"," 2015","13 980 000 [10 990 000 - 18 270 000]"
"South-East Asia"," 2014","13 500 000 [10 610 000 - 17 570 000]"
"South-East Asia"," 2013","14 040 000 [11 050 000 - 17 930 000]"
"South-East Asia"," 2012","18 700 000 [14 890 000 - 23 920 000]"
"South-East Asia"," 2011","21 530 000 [16 870 000 - 27 930 000]"
"South-East Asia"," 2010","25 530 000 [20 160 000 - 33 720 000]"
"Europe"," 2017","0"
"Europe"," 2016","0"
"Europe"," 2015","0"
"Europe"," 2014","2"
"Europe"," 2013","3"
"Europe"," 2012","20"
"Europe"," 2011","70"
"Europe"," 2010","170"
"Eastern Mediterranean"," 2017","4 410 000 [3 633 000 - 5 561 000]"
"Eastern Mediterranean"," 2016","4 498 000 [3 682 000 - 5 786 000]"
"Eastern Mediterranean"," 2015","4 377 000 [3 344 000 - 7 908 000]"
"Eastern Mediterranean"," 2014","4 552 000 [3 488 000 - 8 637 000]"
"Eastern Mediterranean"," 2013","3 823 000 [2 918 000 - 5 336 000]"
"Eastern Mediterranean"," 2012","4 087 000 [3 040 000 - 5 928 000]"
"Eastern Mediterranean"," 2011","4 408 000 [3 269 000 - 6 399 000]"
"Eastern Mediterranean"," 2010","4 255 000 [3 128 000 - 6 549 000]"
"Western Pacific"," 2017","1 857 000 [1 395 000 - 2 399 000]"
"Western Pacific"," 2016","1 736 000 [1 331 000 - 2 208 000]"
"Western Pacific"," 2015","1 451 000 [1 123 000 - 1 849 000]"
"Western Pacific"," 2014","2 354 000 [1 599 000 - 3 338 000]"
"Western Pacific"," 2013","2 033 000 [1 313 000 - 2 912 000]"
"Western Pacific"," 2012","1 888 000 [957 000 - 3 310 000]"
"Western Pacific"," 2011","1 586 000 [921 000 - 2 375 000]"
"Western Pacific"," 2010","1 838 000 [1 047 000 - 2 769 000]"
